"TIME","GEO","GEO_LABEL","UNIT","Value"
"2008","EL","Greece","Million euro","241,990.39"
"2008","EL5","Voreia Ellada","Million euro","52,714.26"
"2008","EL51","Anatoliki Makedonia, Thraki","Million euro","9,450.34"
"2008","EL511","Evros","Million euro","2,276.79"
"2008","EL512","Xanthi","Million euro","1,605.95"
"2008","EL513","Rodopi","Million euro","1,686.32"
"2008","EL514","Drama","Million euro","1,310.04"
"2008","EL515","Thasos, Kavala","Million euro","2,571.24"
"2008","EL52","Kentriki Makedonia","Million euro","33,304.45"
"2008","EL521","Imathia","Million euro","2,151.78"
"2008","EL522","Thessaloniki","Million euro","22,010.38"
"2008","EL523","Kilkis","Million euro","1,245.41"
"2008","EL524","Pella","Million euro","2,123.48"
"2008","EL525","Pieria","Million euro","1,843.23"
"2008","EL526","Serres","Million euro","2,070.87"
"2008","EL527","Chalkidiki","Million euro","1,859.3"
"2008","EL53","Dytiki Makedonia","Million euro","4,801.57"
"2008","EL531","Grevena, Kozani","Million euro","3,202.01"
"2008","EL532","Kastoria","Million euro","679.1"
"2008","EL533","Florina","Million euro","920.46"
"2008","EL54","Ipeiros","Million euro","5,157.9"
"2008","EL541","Arta, Preveza","Million euro","1,733.29"
"2008","EL542","Thesprotia","Million euro","801.3"
"2008","EL543","Ioannina","Million euro","2,623.31"
"2008","EL6","Kentriki Ellada","Million euro","49,055.11"
"2008","EL61","Thessalia","Million euro","12,186.27"
"2008","EL611","Karditsa, Trikala","Million euro","3,254.09"
"2008","EL612","Larisa","Million euro","5,209.9"
"2008","EL613","Magnisia","Million euro","3,722.28"
"2008","EL62","Ionia Nisia","Million euro","4,522.18"
"2008","EL621","Zakynthos","Million euro","1,029.9"
"2008","EL622","Kerkyra","Million euro","2,244.49"
"2008","EL623","Ithaki, Kefallinia","Million euro","900.22"
"2008","EL624","Lefkada","Million euro","347.56"
"2008","EL63","Dytiki Ellada","Million euro","11,364.73"
"2008","EL631","Aitoloakarnania","Million euro","3,175.65"
"2008","EL632","Achaia","Million euro","5,924.63"
"2008","EL633","Ileia","Million euro","2,264.46"
"2008","EL64","Sterea Ellada","Million euro","10,879.47"
"2008","EL641","Voiotia","Million euro","2,983.59"
"2008","EL642","Evvoia","Million euro","4,083.98"
"2008","EL643","Evrytania","Million euro","269.43"
"2008","EL644","Fthiotida","Million euro","2,918.12"
"2008","EL645","Fokida","Million euro","624.35"
"2008","EL65","Peloponnisos","Million euro","10,102.45"
"2008","EL651","Argolida, Arkadia","Million euro","3,597.68"
"2008","EL652","Korinthia","Million euro","2,632.34"
"2008","EL653","Lakonia, Messinia","Million euro","3,872.44"
"2008","EL3","Attiki","Million euro","116,716.94"
"2008","EL30","Attiki","Million euro","116,716.94"
"2008","EL301","Voreios Tomeas Athinon","Million euro","19,484.61"
"2008","EL302","Dytikos Tomeas Athinon","Million euro","7,921.49"
"2008","EL303","Kentrikos Tomeas Athinon","Million euro","42,448.36"
"2008","EL304","Notios Tomeas Athinon","Million euro","13,669.38"
"2008","EL305","Anatoliki Attiki","Million euro","13,142.32"
"2008","EL306","Dytiki Attiki","Million euro","6,175.05"
"2008","EL307","Peiraias, Nisoi","Million euro","13,875.71"
"2008","EL4","Nisia Aigaiou, Kriti","Million euro","23,504.07"
"2008","EL41","Voreio Aigaio","Million euro","3,513.52"
"2008","EL411","Lesvos, Limnos","Million euro","1,797.64"
"2008","EL412","Ikaria, Samos","Million euro","816.11"
"2008","EL413","Chios","Million euro","899.78"
"2008","EL42","Notio Aigaio","Million euro","8,183.03"
"2008","EL421","Kalymnos, Karpathos, Kos, Rodos","Million euro","4,523.31"
"2008","EL422","Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos","Million euro","3,659.72"
"2008","EL43","Kriti","Million euro","11,807.52"
"2008","EL431","Irakleio","Million euro","5,913.3"
"2008","EL432","Lasithi","Million euro","1,418.97"
"2008","EL433","Rethymni","Million euro","1,470.64"
"2008","EL434","Chania","Million euro","3,004.6"
"2009","EL","Greece","Million euro","237,534.18"
"2009","EL5","Voreia Ellada","Million euro","51,808.19"
"2009","EL51","Anatoliki Makedonia, Thraki","Million euro","9,306.01"
"2009","EL511","Evros","Million euro","2,311.1"
"2009","EL512","Xanthi","Million euro","1,544.09"
"2009","EL513","Rodopi","Million euro","1,637.96"
"2009","EL514","Drama","Million euro","1,314.36"
"2009","EL515","Thasos, Kavala","Million euro","2,498.51"
"2009","EL52","Kentriki Makedonia","Million euro","32,439.07"
"2009","EL521","Imathia","Million euro","2,098.62"
"2009","EL522","Thessaloniki","Million euro","21,520.32"
"2009","EL523","Kilkis","Million euro","1,169.86"
"2009","EL524","Pella","Million euro","2,022.78"
"2009","EL525","Pieria","Million euro","1,815.79"
"2009","EL526","Serres","Million euro","2,029.74"
"2009","EL527","Chalkidiki","Million euro","1,781.96"
"2009","EL53","Dytiki Makedonia","Million euro","5,038.6"
"2009","EL531","Grevena, Kozani","Million euro","3,381.09"
"2009","EL532","Kastoria","Million euro","664.12"
"2009","EL533","Florina","Million euro","993.39"
"2009","EL54","Ipeiros","Million euro","5,024.51"
"2009","EL541","Arta, Preveza","Million euro","1,740.05"
"2009","EL542","Thesprotia","Million euro","724.07"
"2009","EL543","Ioannina","Million euro","2,560.38"
"2009","EL6","Kentriki Ellada","Million euro","47,221.25"
"2009","EL61","Thessalia","Million euro","11,814.34"
"2009","EL611","Karditsa, Trikala","Million euro","3,296.18"
"2009","EL612","Larisa","Million euro","5,066.81"
"2009","EL613","Magnisia","Million euro","3,451.36"
"2009","EL62","Ionia Nisia","Million euro","4,200.25"
"2009","EL621","Zakynthos","Million euro","965.73"
"2009","EL622","Kerkyra","Million euro","2,045.86"
"2009","EL623","Ithaki, Kefallinia","Million euro","823.66"
"2009","EL624","Lefkada","Million euro","365"
"2009","EL63","Dytiki Ellada","Million euro","10,889.66"
"2009","EL631","Aitoloakarnania","Million euro","3,085.85"
"2009","EL632","Achaia","Million euro","5,616.94"
"2009","EL633","Ileia","Million euro","2,186.87"
"2009","EL64","Sterea Ellada","Million euro","10,404.88"
"2009","EL641","Voiotia","Million euro","2,954.56"
"2009","EL642","Evvoia","Million euro","3,781.42"
"2009","EL643","Evrytania","Million euro","270.41"
"2009","EL644","Fthiotida","Million euro","2,791.19"
"2009","EL645","Fokida","Million euro","607.31"
"2009","EL65","Peloponnisos","Million euro","9,912.12"
"2009","EL651","Argolida, Arkadia","Million euro","3,584.39"
"2009","EL652","Korinthia","Million euro","2,491.26"
"2009","EL653","Lakonia, Messinia","Million euro","3,836.48"
"2009","EL3","Attiki","Million euro","116,000.89"
"2009","EL30","Attiki","Million euro","116,000.89"
"2009","EL301","Voreios Tomeas Athinon","Million euro","19,823.63"
"2009","EL302","Dytikos Tomeas Athinon","Million euro","7,725.12"
"2009","EL303","Kentrikos Tomeas Athinon","Million euro","42,230.54"
"2009","EL304","Notios Tomeas Athinon","Million euro","13,339.2"
"2009","EL305","Anatoliki Attiki","Million euro","13,475.35"
"2009","EL306","Dytiki Attiki","Million euro","6,001.9"
"2009","EL307","Peiraias, Nisoi","Million euro","13,405.16"
"2009","EL4","Nisia Aigaiou, Kriti","Million euro","22,503.85"
"2009","EL41","Voreio Aigaio","Million euro","3,395.47"
"2009","EL411","Lesvos, Limnos","Million euro","1,751.79"
"2009","EL412","Ikaria, Samos","Million euro","763.15"
"2009","EL413","Chios","Million euro","880.53"
"2009","EL42","Notio Aigaio","Million euro","7,599.14"
"2009","EL421","Kalymnos, Karpathos, Kos, Rodos","Million euro","4,150.01"
"2009","EL422","Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos","Million euro","3,449.13"
"2009","EL43","Kriti","Million euro","11,509.23"
"2009","EL431","Irakleio","Million euro","5,677.76"
"2009","EL432","Lasithi","Million euro","1,420.06"
"2009","EL433","Rethymni","Million euro","1,457.56"
"2009","EL434","Chania","Million euro","2,953.85"
"2010","EL","Greece","Million euro","226,031.45"
"2010","EL5","Voreia Ellada","Million euro","49,456.55"
"2010","EL51","Anatoliki Makedonia, Thraki","Million euro","9,197.63"
"2010","EL511","Evros","Million euro","2,404.79"
"2010","EL512","Xanthi","Million euro","1,576.84"
"2010","EL513","Rodopi","Million euro","1,537.97"
"2010","EL514","Drama","Million euro","1,284.58"
"2010","EL515","Thasos, Kavala","Million euro","2,393.45"
"2010","EL52","Kentriki Makedonia","Million euro","30,347.86"
"2010","EL521","Imathia","Million euro","1,941.6"
"2010","EL522","Thessaloniki","Million euro","19,936.23"
"2010","EL523","Kilkis","Million euro","1,099.3"
"2010","EL524","Pella","Million euro","1,908.49"
"2010","EL525","Pieria","Million euro","1,725.63"
"2010","EL526","Serres","Million euro","2,003.86"
"2010","EL527","Chalkidiki","Million euro","1,732.74"
"2010","EL53","Dytiki Makedonia","Million euro","4,980.91"
"2010","EL531","Grevena, Kozani","Million euro","3,389.14"
"2010","EL532","Kastoria","Million euro","641.21"
"2010","EL533","Florina","Million euro","950.56"
"2010","EL54","Ipeiros","Million euro","4,930.15"
"2010","EL541","Arta, Preveza","Million euro","1,741.65"
"2010","EL542","Thesprotia","Million euro","725.88"
"2010","EL543","Ioannina","Million euro","2,462.62"
"2010","EL6","Kentriki Ellada","Million euro","44,832.19"
"2010","EL61","Thessalia","Million euro","10,835.34"
"2010","EL611","Karditsa, Trikala","Million euro","3,047.55"
"2010","EL612","Larisa","Million euro","4,666.2"
"2010","EL613","Magnisia","Million euro","3,121.59"
"2010","EL62","Ionia Nisia","Million euro","3,992.38"
"2010","EL621","Zakynthos","Million euro","908.5"
"2010","EL622","Kerkyra","Million euro","1,889.13"
"2010","EL623","Ithaki, Kefallinia","Million euro","799.4"
"2010","EL624","Lefkada","Million euro","395.35"
"2010","EL63","Dytiki Ellada","Million euro","10,671.39"
"2010","EL631","Aitoloakarnania","Million euro","2,992.84"
"2010","EL632","Achaia","Million euro","5,500.07"
"2010","EL633","Ileia","Million euro","2,178.48"
"2010","EL64","Sterea Ellada","Million euro","9,903.19"
"2010","EL641","Voiotia","Million euro","2,818.7"
"2010","EL642","Evvoia","Million euro","3,547.57"
"2010","EL643","Evrytania","Million euro","256.12"
"2010","EL644","Fthiotida","Million euro","2,698.49"
"2010","EL645","Fokida","Million euro","582.31"
"2010","EL65","Peloponnisos","Million euro","9,429.89"
"2010","EL651","Argolida, Arkadia","Million euro","3,422.1"
"2010","EL652","Korinthia","Million euro","2,341.99"
"2010","EL653","Lakonia, Messinia","Million euro","3,665.8"
"2010","EL3","Attiki","Million euro","110,462.15"
"2010","EL30","Attiki","Million euro","110,462.15"
"2010","EL301","Voreios Tomeas Athinon","Million euro","19,310.58"
"2010","EL302","Dytikos Tomeas Athinon","Million euro","7,254.71"
"2010","EL303","Kentrikos Tomeas Athinon","Million euro","39,794.68"
"2010","EL304","Notios Tomeas Athinon","Million euro","12,877.73"
"2010","EL305","Anatoliki Attiki","Million euro","13,187.05"
"2010","EL306","Dytiki Attiki","Million euro","5,410.95"
"2010","EL307","Peiraias, Nisoi","Million euro","12,626.46"
"2010","EL4","Nisia Aigaiou, Kriti","Million euro","21,280.56"
"2010","EL41","Voreio Aigaio","Million euro","3,184.47"
"2010","EL411","Lesvos, Limnos","Million euro","1,647.52"
"2010","EL412","Ikaria, Samos","Million euro","697.83"
"2010","EL413","Chios","Million euro","839.12"
"2010","EL42","Notio Aigaio","Million euro","7,236.17"
"2010","EL421","Kalymnos, Karpathos, Kos, Rodos","Million euro","3,919.92"
"2010","EL422","Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos","Million euro","3,316.25"
"2010","EL43","Kriti","Million euro","10,859.92"
"2010","EL431","Irakleio","Million euro","5,405.25"
"2010","EL432","Lasithi","Million euro","1,298.83"
"2010","EL433","Rethymni","Million euro","1,386.16"
"2010","EL434","Chania","Million euro","2,769.68"
"2011","EL","Greece","Million euro","207,028.88"
"2011","EL5","Voreia Ellada","Million euro","45,671.61"
"2011","EL51","Anatoliki Makedonia, Thraki","Million euro","8,149.88"
"2011","EL511","Evros","Million euro","2,157.13"
"2011","EL512","Xanthi","Million euro","1,362.85"
"2011","EL513","Rodopi","Million euro","1,416.29"
"2011","EL514","Drama","Million euro","1,158.46"
"2011","EL515","Thasos, Kavala","Million euro","2,055.15"
"2011","EL52","Kentriki Makedonia","Million euro","28,091.55"
"2011","EL521","Imathia","Million euro","1,857.22"
"2011","EL522","Thessaloniki","Million euro","18,321.14"
"2011","EL523","Kilkis","Million euro","1,023.16"
"2011","EL524","Pella","Million euro","1,751.79"
"2011","EL525","Pieria","Million euro","1,642.11"
"2011","EL526","Serres","Million euro","1,859.43"
"2011","EL527","Chalkidiki","Million euro","1,636.7"
"2011","EL53","Dytiki Makedonia","Million euro","4,818.94"
"2011","EL531","Grevena, Kozani","Million euro","3,179.92"
"2011","EL532","Kastoria","Million euro","626.22"
"2011","EL533","Florina","Million euro","1,012.8"
"2011","EL54","Ipeiros","Million euro","4,611.25"
"2011","EL541","Arta, Preveza","Million euro","1,627.92"
"2011","EL542","Thesprotia","Million euro","660.05"
"2011","EL543","Ioannina","Million euro","2,323.28"
"2011","EL6","Kentriki Ellada","Million euro","41,122.48"
"2011","EL61","Thessalia","Million euro","9,953.17"
"2011","EL611","Karditsa, Trikala","Million euro","2,755.01"
"2011","EL612","Larisa","Million euro","4,223.29"
"2011","EL613","Magnisia","Million euro","2,974.87"
"2011","EL62","Ionia Nisia","Million euro","3,479.28"
"2011","EL621","Zakynthos","Million euro","757.69"
"2011","EL622","Kerkyra","Million euro","1,712.86"
"2011","EL623","Ithaki, Kefallinia","Million euro","664.13"
"2011","EL624","Lefkada","Million euro","344.59"
"2011","EL63","Dytiki Ellada","Million euro","9,610.56"
"2011","EL631","Aitoloakarnania","Million euro","2,794.59"
"2011","EL632","Achaia","Million euro","4,830.06"
"2011","EL633","Ileia","Million euro","1,985.9"
"2011","EL64","Sterea Ellada","Million euro","9,273.45"
"2011","EL641","Voiotia","Million euro","2,828.58"
"2011","EL642","Evvoia","Million euro","3,207.38"
"2011","EL643","Evrytania","Million euro","234.07"
"2011","EL644","Fthiotida","Million euro","2,486.92"
"2011","EL645","Fokida","Million euro","516.5"
"2011","EL65","Peloponnisos","Million euro","8,806.03"
"2011","EL651","Argolida, Arkadia","Million euro","3,109.73"
"2011","EL652","Korinthia","Million euro","2,191.6"
"2011","EL653","Lakonia, Messinia","Million euro","3,504.7"
"2011","EL3","Attiki","Million euro","100,971.58"
"2011","EL30","Attiki","Million euro","100,971.58"
"2011","EL301","Voreios Tomeas Athinon","Million euro","17,712.87"
"2011","EL302","Dytikos Tomeas Athinon","Million euro","6,579.98"
"2011","EL303","Kentrikos Tomeas Athinon","Million euro","35,948.09"
"2011","EL304","Notios Tomeas Athinon","Million euro","11,661.47"
"2011","EL305","Anatoliki Attiki","Million euro","12,257.68"
"2011","EL306","Dytiki Attiki","Million euro","5,409.43"
"2011","EL307","Peiraias, Nisoi","Million euro","11,402.06"
"2011","EL4","Nisia Aigaiou, Kriti","Million euro","19,263.21"
"2011","EL41","Voreio Aigaio","Million euro","2,944.12"
"2011","EL411","Lesvos, Limnos","Million euro","1,522.69"
"2011","EL412","Ikaria, Samos","Million euro","637.03"
"2011","EL413","Chios","Million euro","784.39"
"2011","EL42","Notio Aigaio","Million euro","6,603.42"
"2011","EL421","Kalymnos, Karpathos, Kos, Rodos","Million euro","3,618.01"
"2011","EL422","Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos","Million euro","2,985.41"
"2011","EL43","Kriti","Million euro","9,715.67"
"2011","EL431","Irakleio","Million euro","4,768.29"
"2011","EL432","Lasithi","Million euro","1,144.93"
"2011","EL433","Rethymni","Million euro","1,280.43"
"2011","EL434","Chania","Million euro","2,522.02"
"2012","EL","Greece","Million euro","191,203.91"
"2012","EL5","Voreia Ellada","Million euro","42,297.88"
"2012","EL51","Anatoliki Makedonia, Thraki","Million euro","7,579.47"
"2012","EL511","Evros","Million euro","1,971.11"
"2012","EL512","Xanthi","Million euro","1,258.67"
"2012","EL513","Rodopi","Million euro","1,282.74"
"2012","EL514","Drama","Million euro","1,079.57"
"2012","EL515","Thasos, Kavala","Million euro","1,987.37"
"2012","EL52","Kentriki Makedonia","Million euro","25,807.04"
"2012","EL521","Imathia","Million euro","1,739.47"
"2012","EL522","Thessaloniki","Million euro","16,629.28"
"2012","EL523","Kilkis","Million euro","952.13"
"2012","EL524","Pella","Million euro","1,691.16"
"2012","EL525","Pieria","Million euro","1,507.9"
"2012","EL526","Serres","Million euro","1,756.24"
"2012","EL527","Chalkidiki","Million euro","1,530.85"
"2012","EL53","Dytiki Makedonia","Million euro","4,724.15"
"2012","EL531","Grevena, Kozani","Million euro","3,166.42"
"2012","EL532","Kastoria","Million euro","592.59"
"2012","EL533","Florina","Million euro","965.14"
"2012","EL54","Ipeiros","Million euro","4,187.22"
"2012","EL541","Arta, Preveza","Million euro","1,496.87"
"2012","EL542","Thesprotia","Million euro","622.4"
"2012","EL543","Ioannina","Million euro","2,067.94"
"2012","EL6","Kentriki Ellada","Million euro","38,631.8"
"2012","EL61","Thessalia","Million euro","9,516.79"
"2012","EL611","Karditsa, Trikala","Million euro","2,660.01"
"2012","EL612","Larisa","Million euro","4,078.8"
"2012","EL613","Magnisia","Million euro","2,777.98"
"2012","EL62","Ionia Nisia","Million euro","3,259.88"
"2012","EL621","Zakynthos","Million euro","741.22"
"2012","EL622","Kerkyra","Million euro","1,578.74"
"2012","EL623","Ithaki, Kefallinia","Million euro","626.23"
"2012","EL624","Lefkada","Million euro","313.69"
"2012","EL63","Dytiki Ellada","Million euro","8,956.6"
"2012","EL631","Aitoloakarnania","Million euro","2,634.3"
"2012","EL632","Achaia","Million euro","4,509.38"
"2012","EL633","Ileia","Million euro","1,812.93"
"2012","EL64","Sterea Ellada","Million euro","8,628.03"
"2012","EL641","Voiotia","Million euro","2,658.69"
"2012","EL642","Evvoia","Million euro","2,958.12"
"2012","EL643","Evrytania","Million euro","212.43"
"2012","EL644","Fthiotida","Million euro","2,334.59"
"2012","EL645","Fokida","Million euro","464.19"
"2012","EL65","Peloponnisos","Million euro","8,270.49"
"2012","EL651","Argolida, Arkadia","Million euro","2,890.49"
"2012","EL652","Korinthia","Million euro","2,092.1"
"2012","EL653","Lakonia, Messinia","Million euro","3,287.91"
"2012","EL3","Attiki","Million euro","92,671.3"
"2012","EL30","Attiki","Million euro","92,671.3"
"2012","EL301","Voreios Tomeas Athinon","Million euro","16,500.82"
"2012","EL302","Dytikos Tomeas Athinon","Million euro","5,943.03"
"2012","EL303","Kentrikos Tomeas Athinon","Million euro","33,375.67"
"2012","EL304","Notios Tomeas Athinon","Million euro","10,707.42"
"2012","EL305","Anatoliki Attiki","Million euro","11,275.13"
"2012","EL306","Dytiki Attiki","Million euro","4,452.92"
"2012","EL307","Peiraias, Nisoi","Million euro","10,416.3"
"2012","EL4","Nisia Aigaiou, Kriti","Million euro","17,602.94"
"2012","EL41","Voreio Aigaio","Million euro","2,678.17"
"2012","EL411","Lesvos, Limnos","Million euro","1,366.34"
"2012","EL412","Ikaria, Samos","Million euro","565.29"
"2012","EL413","Chios","Million euro","746.54"
"2012","EL42","Notio Aigaio","Million euro","6,079.42"
"2012","EL421","Kalymnos, Karpathos, Kos, Rodos","Million euro","3,470.97"
"2012","EL422","Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos","Million euro","2,608.45"
